title,author,link,home,rss,date,timestamp
谈谈服务器安全,LonelyGod,https://hin.cool/posts/serversec.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-10-03,1633219200.0
你需要一个什么样的浏览器？,LonelyGod,https://hin.cool/posts/browser.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-09-19,1632009600.0
腾讯云个人站点扶持计划——Webify,LonelyGod,https://hin.cool/posts/webify.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-09-16,1631750400.0
从希区柯克电影《深闺疑云》说起,LonelyGod,https://hin.cool/posts/suspicion.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-09-04,1630713600.0
房间,LonelyGod,https://hin.cool/posts/fangjian.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-08-26,1629936000.0
没有新的衣服能让你爱恋,LonelyGod,https://hin.cool/posts/hunger.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-08-17,1629158400.0
AirConnect——智能音箱Airplay或DLNA支持方案,LonelyGod,https://hin.cool/posts/airconnect.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-08-12,1628726400.0
猫盘群晖DSM7.0三合一修复（8.18更新）,LonelyGod,https://hin.cool/posts/catdriver.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-07-30,1627603200.0
猫盘群晖DSM7.0的frpc配置,LonelyGod,https://hin.cool/posts/nasfrpc2.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-07-28,1627430400.0
第三方微博客户端Share宣布停止维护更新,LonelyGod,https://hin.cool/posts/weiboshare.html,https://hin.cool/,https://www.hin.cool/atom.xml,2021-07-09,1625788800.0
使用Cloudflare加速vercel,W4J1e,https://www.hin.cool/posts/cfvercel.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-06-10,1623283200.0
讲古诗也算教语文？,W4J1e,https://www.hin.cool/posts/kongyitang.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-06-06,1622937600.0
内卷、躺平，当代社会是如何Pua年轻人的？,W4J1e,https://www.hin.cool/posts/neijuan.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-05-28,1622160000.0
超大优惠——腾讯云轻量服务器无忧计划,W4J1e,https://www.hin.cool/posts/txlighthouse.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-05-22,1621641600.0
Vercel无法访问带来了哪些影响？,W4J1e,https://www.hin.cool/posts/verceldown.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-05-15,1621036800.0
理性发声，坚定爱国,W4J1e,https://www.hin.cool/posts/weirenminfuwu.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-05-11,1620691200.0
你是否愿意为智能音箱内容二次付费？,W4J1e,https://www.hin.cool/posts/xiaodu.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-05-08,1620432000.0
无需剁手的国内外线路分流方案,W4J1e,https://www.hin.cool/posts/globalcdn.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-05-01,1619827200.0
浮城往事,W4J1e,https://www.hin.cool/posts/fuchengwangshi.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-04-29,1619654400.0
结婚——2016年“降噪”不插电版,W4J1e,https://www.hin.cool/posts/mvjiehun.html,https://www.hin.cool/,https://www.hin.cool/atom.xml,2021-04-21,1618963200.0
