title,author,link,home,rss,date,timestamp,test,tags
追幸福的人,瓦解的生活记事,https://hin.cool/posts/mycrime2020.html,https://hin.cool,https://hin.cool/atom.xml,2025-12-13,1765620000,,
AI 开发——改了一个浏览器翻译插件,瓦解的生活记事,https://hin.cool/posts/lightrans.html,https://hin.cool,https://hin.cool/atom.xml,2025-12-07,1765081800,,
造 梦 者,瓦解的生活记事,https://hin.cool/posts/zaomengzhe.html,https://hin.cool,https://hin.cool/atom.xml,2025-11-16,1763262000,,
AI 开发的导航页——SimpleNav,瓦解的生活记事,https://hin.cool/posts/simplenav.html,https://hin.cool,https://hin.cool/atom.xml,2025-11-14,1763130600,,
记胡彦斌成都演唱会,瓦解的生活记事,https://hin.cool/posts/huyanbinchengdu.html,https://hin.cool,https://hin.cool/atom.xml,2025-11-01,1761988200,,
疲惫的国庆假期,瓦解的生活记事,https://hin.cool/posts/ohfxxklife.html,https://hin.cool,https://hin.cool/atom.xml,2025-10-02,1759392000,,
宿 命,瓦解的生活记事,https://hin.cool/posts/suming.html,https://hin.cool,https://hin.cool/atom.xml,2025-10-02,1759421220,,
群晖SMB——本地设备名已在使用中,瓦解的生活记事,https://hin.cool/posts/nassmbfix.html,https://hin.cool,https://hin.cool/atom.xml,2025-09-27,1758960000,,
终章：分手,瓦解的生活记事,https://hin.cool/posts/zhongzhangfenshou.html,https://hin.cool,https://hin.cool/atom.xml,2025-09-25,1758808800,,
不速之客,瓦解的生活记事,https://hin.cool/posts/busuzhike.html,https://hin.cool,https://hin.cool/atom.xml,2025-09-12,1757688000,,
入门天文望远镜探索科学 80EQ3,瓦解的生活记事,https://hin.cool/posts/es80eq3.html,https://hin.cool,https://hin.cool/atom.xml,2025-09-06,1757170200,,
暗房时刻,瓦解的生活记事,https://hin.cool/posts/anfangshike.html,https://hin.cool,https://hin.cool/atom.xml,2025-08-14,1755188100,,
我在用什么浏览器翻译插件？,瓦解的生活记事,https://hin.cool/posts/chrometrans.html,https://hin.cool,https://hin.cool/atom.xml,2025-08-10,1754839200,,
再访悟惑寺,瓦解的生活记事,https://hin.cool/posts/visitwuhuosi.html,https://hin.cool,https://hin.cool/atom.xml,2025-08-08,1754663400,,
暑假游·香港篇,瓦解的生活记事,https://hin.cool/posts/visithongkong.html,https://hin.cool,https://hin.cool/atom.xml,2025-08-02,1754128800,,
暑假游·贵广州篇,瓦解的生活记事,https://hin.cool/posts/visitguiguangzhou.html,https://hin.cool,https://hin.cool/atom.xml,2025-08-01,1754046000,,
暑假游·广西篇,瓦解的生活记事,https://hin.cool/posts/visitguangxi.html,https://hin.cool,https://hin.cool/atom.xml,2025-07-31,1753953000,,
腾讯云EdgeOne，真香！,瓦解的生活记事,https://hin.cool/posts/edgeonefree.html,https://hin.cool,https://hin.cool/atom.xml,2025-07-12,1752292800,,
月亮下的思念,瓦解的生活记事,https://hin.cool/posts/missingunderthemoon.html,https://hin.cool,https://hin.cool/atom.xml,2025-06-21,1750518000,,
悬命,瓦解的生活记事,https://hin.cool/posts/xuanming.html,https://hin.cool,https://hin.cool/atom.xml,2025-06-02,1748872800,,
