title,author,link,home,rss,date,timestamp,tags,test
35 岁了，遇到瓶颈很焦虑怎么办,Andy Stewart,//manateelazycat.github.io/2025/05/30/35-year,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-29,1748534400,,
销售三板斧,Andy Stewart,//manateelazycat.github.io/2025/05/28/sale,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-27,1748361600,,
技术研发为啥都需要一块自己的菜地？,Andy Stewart,//manateelazycat.github.io/2025/05/27/developer-and-farm,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-26,1748275200,,
不会武功，不要去武功山，哈哈哈哈,Andy Stewart,//manateelazycat.github.io/2025/05/27/wu-gong-shan,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-26,1748275200,,
技术创业者的三大陷阱与突围之道,Andy Stewart,//manateelazycat.github.io/2025/05/20/tech-enterpretor,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-19,1747670400,,
慢就是快，很多人看不懂,Andy Stewart,//manateelazycat.github.io/2025/05/18/slow-is-fast,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-17,1747497600,,
怎样在长时间高强度工作的情况下，保持身体健康,Andy Stewart,//manateelazycat.github.io/2025/05/18/work-and-health,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-17,1747497600,,
CEO 和销售,Andy Stewart,//manateelazycat.github.io/2025/05/15/ceo-and-sale,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-14,1747238400,,
多线程工作秘诀,Andy Stewart,//manateelazycat.github.io/2025/05/15/how-to-work-effect,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-14,1747238400,,
怎么写博客大家愿意读?,Andy Stewart,//manateelazycat.github.io/2025/05/15/how-to-write-blog,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-14,1747238400,,
喝酒可以修疑难杂症是什么原理？,Andy Stewart,//manateelazycat.github.io/2025/05/04/drink-code,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-03,1746288000,,
懒猫微服对技术用户有什么用？,Andy Stewart,//manateelazycat.github.io/2025/05/03/microserver-for-developer,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-02,1746201600,,
操作系统老兵：软件生态为什么难度这么大？,Andy Stewart,//manateelazycat.github.io/2025/05/02/os-hard,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-05-01,1746115200,,
苦尽柑来遇见你,Andy Stewart,//manateelazycat.github.io/2025/04/26/ku-jing-gan-lai,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-04-25,1745596800,,
年轻技术人怎么快速学习？,Andy Stewart,//manateelazycat.github.io/2025/04/25/young-people-grow,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-04-24,1745510400,,
人到中年怎么进步？,Andy Stewart,//manateelazycat.github.io/2025/04/24/focus-self,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-04-23,1745424000,,
NuPhy Air75 VS K100 Air 横向对比,Andy Stewart,//manateelazycat.github.io/2025/04/20/nuphy-and-k100,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-04-19,1745078400,,
技术人员怎么能够变成合格的创业者？,Andy Stewart,//manateelazycat.github.io/2025/04/19/developer-to-enterpriser,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-04-18,1744992000,,
修复 Virtual Console Setup 启动错误,Andy Stewart,//manateelazycat.github.io/2025/04/11/vconsole-error,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-04-10,1744300800,,
读《营销笔记和卖货真相》,Andy Stewart,//manateelazycat.github.io/2024/08/02/reading-marketing-notes,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2024-08-02,1722556800,,
深入分析 LSP 协议,Andy Stewart,//manateelazycat.github.io/2024/06/11/lsp-trick,//manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2024-06-11,1718064000,,
