title,author,link,home,rss,date,timestamp
我去过的县级行政区,辛未羊的网络日志,https://panqiincs.me/2022/09/01/places-visited/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-09-01,1662041614.0
用Python的Pillow库绘制天城文,辛未羊的网络日志,https://panqiincs.me/2022/07/15/pillow-draw-devanagari/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-07-15,1657846591.0
天城文基础及计算机处理方法,辛未羊的网络日志,https://panqiincs.me/2022/07/14/python-devanagari/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-07-14,1657762912.0
控制理论的经典实例：单摆系统,辛未羊的网络日志,https://panqiincs.me/2022/05/19/pendulum-as-example/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-05-19,1652923043.0
记一次网站重大升级,辛未羊的网络日志,https://panqiincs.me/2022/04/20/website-great-updates/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-04-20,1650430169.0
帮人解决过的电脑问题,辛未羊的网络日志,https://panqiincs.me/2022/04/16/computer-problems/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-04-16,1650120233.0
一阶系统结构图中的负反馈,辛未羊的网络日志,https://panqiincs.me/2022/03/25/inertial-system-diagram/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-03-25,1648222055.0
尝试下Amann的数学分析,辛未羊的网络日志,https://panqiincs.me/2022/02/18/attempt-amann-analysis/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-02-18,1645178812.0
2022年初广西自驾游,辛未羊的网络日志,https://panqiincs.me/2022/01/14/xinchou-guangxi-trip/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2022-01-14,1642160544.0
我喜欢的围棋解说,辛未羊的网络日志,https://panqiincs.me/2021/11/01/weiqi-commentators/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-11-01,1635771062.0
用C++的odeint库求解微分方程,辛未羊的网络日志,https://panqiincs.me/2021/09/17/solve-ode-with-odeint/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-09-17,1631852453.0
逐渐消失的老黄州口音,辛未羊的网络日志,https://panqiincs.me/2021/08/29/old-huangzhou-accent/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-08-29,1630245899.0
Manjaro升级错误解决方法,辛未羊的网络日志,https://panqiincs.me/2021/08/17/manjaro-update-errors/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-08-17,1629180004.0
我的家乡与长江水患,辛未羊的网络日志,https://panqiincs.me/2021/07/19/hometown-and-flood/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-07-19,1626682693.0
读「控制系统设计」,辛未羊的网络日志,https://panqiincs.me/2021/06/20/control-system-design/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-06-20,1624172694.0
黄冈城区语音的变迁,辛未羊的网络日志,https://panqiincs.me/2021/06/07/dialect-changes/,https://panqiincs.me/,https://panqiincs.me/atom.xml,2021-06-07,1623068753.0
