title,author,link,home,rss,date,timestamp,test,tags
行车记录仪视频拼接,Bing's Blog,https://imcbc.cn/202505/dashcam-video-merge,https://imcbc.cn,https://bbing.com.cn/index.xml,2025-05-05,1746433938,,
生成文章摘要,Bing's Blog,https://imcbc.cn/202504/summary-by-ai,https://imcbc.cn,https://bbing.com.cn/index.xml,2025-04-25,1745548251,,
DMA拼接,Bing's Blog,https://imcbc.cn/202504/dma-ring,https://imcbc.cn,https://bbing.com.cn/index.xml,2025-04-20,1745140729,,
Base64压缩,Bing's Blog,https://imcbc.cn/202504/base64-compression,https://imcbc.cn,https://bbing.com.cn/index.xml,2025-04-17,1744868225,,
2024年终总结,Bing's Blog,https://imcbc.cn/202501/2024-summary,https://imcbc.cn,https://bbing.com.cn/index.xml,2025-01-14,1736861178,,
二维数据可视化工具-painter,Bing's Blog,https://imcbc.cn/202412/2d-vistual-painter,https://imcbc.cn,https://bbing.com.cn/index.xml,2024-12-09,1733753843,,
C++闭包二,Bing's Blog,https://imcbc.cn/202409/cpp-closure2,https://imcbc.cn,https://bbing.com.cn/index.xml,2024-09-11,1726035869,,
轻量级参数解析库-tiny_cmdline,Bing's Blog,https://imcbc.cn/202408/about_tiny_summary,https://imcbc.cn,https://bbing.com.cn/index.xml,2024-08-13,1723549535,,
C++标签派发技术,Bing's Blog,https://imcbc.cn/202408/cpp_tag_dispatch,https://imcbc.cn,https://bbing.com.cn/index.xml,2024-08-01,1722500782,,
栈buffer对比堆buffer,Bing's Blog,https://imcbc.cn/202407/stack_vs_heap_buffer,https://imcbc.cn,https://bbing.com.cn/index.xml,2024-07-29,1722260539,,
