title,author,link,home,rss,date,timestamp
如果自己独居会选择哪里,Andy Stewart,https://manateelazycat.github.io/2025/06/09/live-place/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-08,1749398400.0
你一个人停下来思考的时候，你脑袋会有一个人跟你讲话吗？,Andy Stewart,https://manateelazycat.github.io/2025/06/08/another-me/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-07,1749312000.0
焦虑的时候很难睡得好，有什么好办法？,Andy Stewart,https://manateelazycat.github.io/2025/06/07/anxiety/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-06,1749225600.0
LNKS 的设计原则,Andy Stewart,https://manateelazycat.github.io/2025/06/06/design-rule/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-05,1749139200.0
操作系统技术是护城河吗？,Andy Stewart,https://manateelazycat.github.io/2025/06/05/ask-os/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-04,1749052800.0
操作系统技术是护城河吗？,Andy Stewart,//manateelazycat.github.io/2025/06/05/ask-os/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-04,1749052800.0
为什么我依然喜欢听本地音乐,Andy Stewart,https://manateelazycat.github.io/2025/06/03/listen-local-music/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-02,1748880000.0
为什么我依然喜欢听本地音乐,Andy Stewart,//manateelazycat.github.io/2025/06/03/listen-local-music/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-06-02,1748880000.0
35 岁了，遇到瓶颈很焦虑怎么办,Andy Stewart,https://manateelazycat.github.io/2025/05/30/35-year/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-29,1748534400.0
35 岁了，遇到瓶颈很焦虑怎么办,Andy Stewart,//manateelazycat.github.io/2025/05/30/35-year/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-29,1748534400.0
销售三板斧,Andy Stewart,https://manateelazycat.github.io/2025/05/28/sale/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-27,1748361600.0
销售三板斧,Andy Stewart,//manateelazycat.github.io/2025/05/28/sale/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-27,1748361600.0
技术研发为啥都需要一块自己的菜地？,Andy Stewart,https://manateelazycat.github.io/2025/05/27/developer-and-farm/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-26,1748275200.0
技术研发为啥都需要一块自己的菜地？,Andy Stewart,//manateelazycat.github.io/2025/05/27/developer-and-farm/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-26,1748275200.0
技术创业者的三大陷阱与突围之道,Andy Stewart,https://manateelazycat.github.io/2025/05/20/tech-enterpretor/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-19,1747670400.0
技术创业者的三大陷阱与突围之道,Andy Stewart,//manateelazycat.github.io/2025/05/20/tech-enterpretor/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-19,1747670400.0
慢就是快，很多人看不懂,Andy Stewart,https://manateelazycat.github.io/2025/05/18/slow-is-fast/,https://manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-17,1747497600.0
慢就是快，很多人看不懂,Andy Stewart,//manateelazycat.github.io/2025/05/18/slow-is-fast/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-17,1747497600.0
CEO 和销售,Andy Stewart,//manateelazycat.github.io/2025/05/15/ceo-and-sale/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-14,1747238400.0
一天自制自己的地图软件,Andy Stewart,//manateelazycat.github.io/2025/05/14/how-to-build-your-own-map/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-13,1747152000.0
35 岁+程序员依然可以兼顾热爱代码和享受生活,Andy Stewart,//manateelazycat.github.io/2025/05/10/35-years-old/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-09,1746806400.0
修复 Btrfs 文件系统的秘籍,Andy Stewart,//manateelazycat.github.io/2025/05/08/btrfs-error/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-07,1746633600.0
喝酒可以修疑难杂症是什么原理？,Andy Stewart,//manateelazycat.github.io/2025/05/04/drink-code/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-03,1746288000.0
懒猫微服对技术用户有什么用？,Andy Stewart,//manateelazycat.github.io/2025/05/03/microserver-for-developer/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-02,1746201600.0
操作系统老兵：软件生态为什么难度这么大？,Andy Stewart,//manateelazycat.github.io/2025/05/02/os-hard/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-05-01,1746115200.0
苦尽柑来遇见你,Andy Stewart,//manateelazycat.github.io/2025/04/26/ku-jing-gan-lai/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-25,1745596800.0
年轻技术人怎么快速学习？,Andy Stewart,//manateelazycat.github.io/2025/04/25/young-people-grow/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-24,1745510400.0
人到中年怎么进步？,Andy Stewart,//manateelazycat.github.io/2025/04/24/focus-self/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-23,1745424000.0
NuPhy Air75 VS K100 Air 横向对比,Andy Stewart,//manateelazycat.github.io/2025/04/20/nuphy-and-k100/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-19,1745078400.0
技术人员怎么能够变成合格的创业者？,Andy Stewart,//manateelazycat.github.io/2025/04/19/developer-to-enterpriser/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-18,1744992000.0
修复 Virtual Console Setup 启动错误,Andy Stewart,//manateelazycat.github.io/2025/04/11/vconsole-error/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-10,1744300800.0
种草 K100 Air,Andy Stewart,//manateelazycat.github.io/2025/04/07/k100-air/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-06,1743955200.0
罗技 MX MECHANICAL MINI 机械键盘的蓝牙配对,Andy Stewart,//manateelazycat.github.io/2025/04/06/logi-mx-keyboard/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-05,1743868800.0
ThinkPad 键盘忠粉：如何挑机械键盘,Andy Stewart,//manateelazycat.github.io/2025/04/05/keyboard-choose/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-04,1743782400.0
免费用 Gemini 2.5 Pro 的教程,Andy Stewart,//manateelazycat.github.io/2025/04/04/gemini-free-use/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-03,1743696000.0
日式烧酒探店,Andy Stewart,//manateelazycat.github.io/2025/04/03/wonderful-bar/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-04-02,1743609600.0
社区运营的方法论,Andy Stewart,//manateelazycat.github.io/2025/03/31/community-work/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-03-30,1743350400.0
从《悉达多》看人生：追寻意义不如学会爱万物,Andy Stewart,//manateelazycat.github.io/2025/03/30/reading-xidaduo/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-03-29,1743264000.0
折腾 AMD 9950x,Andy Stewart,//manateelazycat.github.io/2025/03/25/config-keyboard-and-mouse/,//manateelazycat.github.io/,https://manateelazycat.github.io/feed.xml,2025-03-24,1742832000.0
