title,author,link,home,rss,date,timestamp
在 RTX 4060 Laptop（8GB 显存）笔记本上部署 Qwen3.5-4B 和 Qwopus3.5-9B-Coder 的完整实战,无妄当自持,https://www.insidentally.com/articles/000051/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-06-18,1781787600.0
给 Hermes Agent 接入 Sciverse：5 分钟搞定学术搜索 MCP,无妄当自持,https://www.insidentally.com/articles/000050/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-06-18,1781771400.0
MinerU：让 AI Agent 读懂 PDF 的文档提取利器,无妄当自持,https://www.insidentally.com/articles/000049/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-06-18,1781755200.0
用 Firecrawl + SearXNG 给 Hermes Agent 搭建本地搜索与网页抓取,无妄当自持,https://www.insidentally.com/articles/000047/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-06-02,1780374600.0
让服务器的 AI 读写你的 Obsidian 笔记库：从自建同步到 MCP 集成,无妄当自持,https://www.insidentally.com/articles/000048/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-06-02,1780365600.0
在 RTX 4060 笔记本上运行 Qwen 3.5 9B：llama.cpp 本地部署实录,无妄当自持,https://www.insidentally.com/articles/000045/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-05-24,1779636600.0
在 Fedora 44 上编译支持 CUDA 的 llama.cpp：完整指南,无妄当自持,https://www.insidentally.com/articles/000044/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-05-24,1779631200.0
Hermes WebUI 安装与使用指南,无妄当自持,https://www.insidentally.com/articles/000046/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-05-24,1779604200.0
Hermes Agent 使用实践：核心机制与命令技巧,无妄当自持,https://www.insidentally.com/articles/000043/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-05-18,1779093000.0
小米 MiMo 模型本地部署实践：从选型到踩坑,无妄当自持,https://www.insidentally.com/articles/000042/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-05-06,1778061600.0
介绍并初步使用 Hermes Agent,无妄当自持,https://www.insidentally.com/articles/000041/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2026-05-05,1777971600.0
Linux 下将浏览器缓存放到内存，并在登录登出时进行同步,无妄当自持,https://www.insidentally.com/articles/000040/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2024-04-05,1712329662.0
Fedora 使用脚本配置国内镜像源,无妄当自持,https://www.insidentally.com/articles/000039/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2024-03-18,1710760062.0
在 Fedora server 39 中纯手动部署 Nextcloud,无妄当自持,https://www.insidentally.com/articles/000038/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2024-03-09,1709991268.0
使用 shell 脚本和 systemd 定时替换 Gnome 壁纸,无妄当自持,https://www.insidentally.com/articles/000037/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2024-02-04,1707035668.0
Linux 下字体配置,无妄当自持,https://www.insidentally.com/articles/000036/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2024-01-31,1706690068.0
设置 VirtualBox 虚拟机为静态 ip 以方便主机访问,无妄当自持,https://www.insidentally.com/articles/000035/,https://www.insidentally.com/,https://www.insidentally.com/atom.xml,2023-10-19,1697704468.0
