title,author,link,home,rss,date,timestamp,tags,test
谈谈服务器安全,瓦解的生活记事,https://www.hin.cool/posts/serversec.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-10-03,1633219200,,
你需要一个什么样的浏览器？,瓦解的生活记事,https://www.hin.cool/posts/browser.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-09-19,1632009600,,
腾讯云个人站点扶持计划——Webify,瓦解的生活记事,https://www.hin.cool/posts/webify.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-09-16,1631750400,,
从希区柯克电影《深闺疑云》说起,瓦解的生活记事,https://www.hin.cool/posts/suspicion.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-09-04,1630713600,,
房间,瓦解的生活记事,https://www.hin.cool/posts/fangjian.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-08-26,1629936000,,
没有新的衣服能让你爱恋,瓦解的生活记事,https://www.hin.cool/posts/hunger.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-08-17,1629158400,,
AirConnect——智能音箱Airplay或DLNA支持方案,瓦解的生活记事,https://www.hin.cool/posts/airconnect.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-08-12,1628726400,,
猫盘群晖DSM7.0三合一修复（8.18更新）,瓦解的生活记事,https://www.hin.cool/posts/catdriver.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-07-30,1627603200,,
猫盘群晖DSM7.0的frpc配置,瓦解的生活记事,https://www.hin.cool/posts/nasfrpc2.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-07-28,1627430400,,
第三方微博客户端Share宣布停止维护更新,瓦解的生活记事,https://www.hin.cool/posts/weiboshare.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-07-09,1625788800,,
我还有这一腔孤勇,瓦解的生活记事,https://www.hin.cool/posts/myeses.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-07-06,1625529600,,
Hexo主题butterfly初体验,瓦解的生活记事,https://www.hin.cool/posts/butterfly.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-06-25,1624579200,,
Ecosia——一个绿色的搜索引擎,瓦解的生活记事,https://www.hin.cool/posts/ecosia.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-06-20,1624147200,,
不念过往，不畏将来,瓦解的生活记事,https://www.hin.cool/posts/sunmerbeer.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-06-15,1623715200,,
热河——2015年“看见”北京现场版,瓦解的生活记事,https://www.hin.cool/posts/mvrehe.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-06-12,1623456000,,
使用Cloudflare加速vercel,瓦解的生活记事,https://www.hin.cool/posts/cfvercel.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-06-10,1623283200,,
讲古诗也算教语文？,瓦解的生活记事,https://www.hin.cool/posts/kongyitang.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-06-06,1622937600,,
内卷、躺平，当代社会是如何Pua年轻人的？,瓦解的生活记事,https://www.hin.cool/posts/neijuan.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-05-28,1622160000,,
超大优惠——腾讯云轻量服务器无忧计划,瓦解的生活记事,https://www.hin.cool/posts/txlighthouse.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-05-22,1621641600,,
Vercel无法访问带来了哪些影响？,瓦解的生活记事,https://www.hin.cool/posts/verceldown.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-05-15,1621036800,,
理性发声，坚定爱国,瓦解的生活记事,https://www.hin.cool/posts/weirenminfuwu.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-05-11,1620691200,,
你是否愿意为智能音箱内容二次付费？,瓦解的生活记事,https://www.hin.cool/posts/xiaodu.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-05-08,1620432000,,
无需剁手的国内外线路分流方案,瓦解的生活记事,https://www.hin.cool/posts/globalcdn.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-05-01,1619827200,,
浮城往事,瓦解的生活记事,https://www.hin.cool/posts/fuchengwangshi.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-04-29,1619654400,,
结婚——2016年“降噪”不插电版,瓦解的生活记事,https://www.hin.cool/posts/mvjiehun.html,https://www.hin.cool,https://www.hin.cool/atom.xml,2021-04-21,1618963200,,
