title,author,link,home,rss,date,timestamp,test,tags
AI 后时代需要什么能力?,Andy Stewart,https://manateelazycat.github.io/2025/12/28/after-ai,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
Airbnb CEO Brian 的访谈,Andy Stewart,https://manateelazycat.github.io/2025/12/28/airbnb,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
超级牛人和一般人的区别,Andy Stewart,https://manateelazycat.github.io/2025/12/28/best-people,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
没有伯乐,Andy Stewart,https://manateelazycat.github.io/2025/12/28/bole,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
中国式融资,Andy Stewart,https://manateelazycat.github.io/2025/12/28/china-get-money,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
心态稳定的三个方法,Andy Stewart,https://manateelazycat.github.io/2025/12/28/cold-down,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
怎么做高执行力?,Andy Stewart,https://manateelazycat.github.io/2025/12/28/do-it,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
应无所住而生其心,Andy Stewart,https://manateelazycat.github.io/2025/12/28/do-not-care,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
高认知的人为什么不要去改变低认知的人？,Andy Stewart,https://manateelazycat.github.io/2025/12/28/do-not-teach-other,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
躬身入局,Andy Stewart,https://manateelazycat.github.io/2025/12/28/focus,https://manateelazycat.github.io,https://manateelazycat.github.io/feed.xml,2025-12-27,1766851200,,
